데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
2024-03-21 15:04,ICW0W2100481,10,4,1277,5282,21.9,32,72,68
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-21 15:04,ICW0W2100582,28,10,694,119,23.1,20,71,94
2024-03-21 15:04,ICW0W2100579,9,3,0,446,25.3,13,61,87
2024-03-21 15:05,ICW0W2100562,27,14,581,4762,24.6,15,68,62
2024-03-21 15:04,ICW0W2100560,13,4,582,6000,23.9,17,59,65
2024-03-21 15:04,ICW0W2100549,17,7,951,168,20.3,25,72,94
2024-03-21 15:04,ICW0W2100509,15,5,264,6000,23,22,64,69
2024-03-21 15:04,ICW0W2100506,27,10,84,16,23.9,14,55,95
2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-03-21 15:04,ICW0W2100497,274,114,1025,65,26.4,20,72,57
2024-03-21 15:07,ICW0W2100491,7,4,1415,12997,25.7,23,62,55
2024-03-21 15:04,ICW0W2100489,13,5,78,1,24.2,20,67,98
2024-03-21 15:04,ICW0W2100488,27,10,457,137,22.9,15,77,92
2024-03-21 15:04,ICW0W2100485,9,3,2172,0,24.8,34,67,77
2024-03-21 15:04,ICW0W2100479,49,18,1751,318,25.7,23,68,71
2024-03-21 15:04,ICW0W2100467,12,5,,6000,22.4,18,83,59
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-03-21 15:04,ICW0W2100462,11,4,60,3642,25.5,22,65,72
2024-03-21 15:04,ICW0W2100460,7,2,1741,0,22.2,28,70,81
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-03-21 15:04,ICW0W2100455,18,6,604,3459,24.4,20,60,70
2024-03-21 15:04,ICW0W2001000,19,12,111,75,16.9,27,71,95
2024-03-21 15:04,ICW0W2000996,20,19,541,1276,21.7,23,57,76
2024-03-21 15:04,ICW0W2000991,22,15,419,34,20.3,24,58,96
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
2024-03-21 15:04,ICW0W2000987,7,5,754,293,23,26,60,94
2024-03-21 15:04,ICW0W2000983,7,5,173,117,17.2,28,62,96
2024-03-21 15:04,ICW0W2000978,20,12,778,306,17.2,26,51,88
2024-03-21 15:04,ICW0W2000977,12,8,755,746,21.2,27,66,83
2024-03-21 15:04,ICW0W2000974,25,16,1183,228,18.9,28,72,84
2024-03-21 15:04,ICW0W2000973,23,15,567,30,19.5,23,73,95
2024-03-21 14:56,ICW0W2000972,39,27,1016,306,24.9,20,48,82
2024-03-21 15:04,ICW0W2000968,20,11,841,281,27,18,61,86
2024-03-21 15:04,ICW0W2000964,24,16,555,972,18.8,22,58,77
2024-03-21 15:04,ICW0W2000956,15,9,1170,623,18.6,36,58,86
2024-03-21 15:04,ICW0W2000955,21,15,565,444,18.3,23,64,88
2024-03-21 15:04,ICW0W2000951,36,10,352,80,22.5,22,61,96
2024-03-21 15:04,ICW0W2000944,11,8,734,120,20.6,28,78,95
2024-03-21 15:04,ICW0W2000933,13,3,1522,4989,23.7,28,62,65
2024-03-21 15:04,ICW0W2000926,17,5,25,20,26.5,21,53,97
2024-03-21 15:04,ICW0W2000924,35,11,838,173,23.1,25,74,92
2024-03-21 15:04,ICW0W2000922,8,2,426,47,23.2,28,59,99
2024-03-21 15:04,V01T1623130,17,8,954,241,21.8,21,46,92
2024-03-21 15:03,V01T1623129,11,5,667,148,27.1,16,42,86
2024-03-21 15:04,V01T1623123,33,15,848,293,23.4,17,40,87
2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
2024-03-21 15:03,V01T1623118,5,2,510,126,22.8,18,35,95
2024-03-21 15:03,V01T1623117,27,12,1004,322,23.2,20,47,88
2024-03-21 15:04,V01T1623116,37,17,535,152,22.1,23,39,92
2024-03-21 15:04,V01T1623113,1,1,469,146,25.4,9,53,93
2024-03-21 15:04,V01T1623112,43,19,686,168,27.4,16,46,81
2024-03-21 15:04,V01T1623109,48,21,2224,162,10.7,32,40,64
2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
2024-03-21 15:04,V01T1623105,11,5,602,146,20.7,16,31,93
2024-03-21 15:04,V01T1623102,26,12,1540,507,27.9,21,37,69
2024-03-21 15:04,V01T1623100,21,10,1069,326,23.5,26,36,87
2024-03-21 15:04,ICW0W2000512,23,9,551,356,24.5,21,70,89
2024-03-21 15:04,ICW0W2000507,6,3,757,1035,25.3,20,52,76
2024-03-21 15:04,ICW0W2000505,7,2,724,289,25.4,22,76,92
2024-03-21 15:04,ICW0W2000503,3,1,1173,680,23.1,31,63,83
2024-03-21 15:04,ICW0W2000501,14,5,709,1223,22.2,24,69,78
2024-03-21 15:04,ICW0W2000500,13,7,2500,372,29.3,17,62,65
2024-03-21 15:04,ICW0W2000459,16,5,796,43,26.6,19,63,90
2024-03-21 15:04,ICW0W2000455,14,5,130,58,19.9,30,65,100
2024-03-21 15:04,ICW0W2000447,40,10,1494,1874,20.1,31,61,67
2024-03-21 15:04,ICW0W2000398,27,9,512,57,21.8,22,61,96
2024-03-21 15:04,ICW0W2000388,19,7,620,156,16.8,29,47,92
2024-03-21 15:04,ICW0W2000382,3,1,611,30,21.5,26,64,99
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
2024-03-21 15:04,ICW0W2000380,22,7,824,251,18.9,28,57,92
2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-03-21 15:04,ICW0W2000287,10,3,1019,114,25.2,22,52,89
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-03-21 15:04,ICW0W2000275,20,6,694,83,17,31,50,93
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-03-21 15:04,ICW0W2000262,18,6,679,50,18.9,26,67,96
2024-03-21 15:04,ICW0W2000248,21,6,1247,47,24.2,21,95,83
2024-03-21 15:03,ICW0W2100481,9,3,1329,5446,21.9,33,69,67
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-21 15:03,ICW0W2100582,27,9,692,117,23.1,20,72,94
2024-03-21 15:03,ICW0W2100579,9,3,0,477,25.3,12,59,86
2024-03-21 15:04,ICW0W2100562,25,13,585,6067,24.6,15,62,60
2024-03-21 15:03,ICW0W2100560,15,5,556,6000,23.8,17,59,65
데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
2024-03-21 17:06,ICW0W2100488,22,8,554,207,23.5,16,70,91
2024-03-21 17:06,ICW0W2100506,25,10,59,7,14.7,22,60,92
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-21 17:06,ICW0W2100582,24,9,633,440,23,20,65,88
2024-03-21 17:06,ICW0W2100579,9,3,0,429,26.7,12,60,87
2024-03-21 17:07,ICW0W2100562,23,12,634,895,24.9,15,69,73
2024-03-21 17:06,ICW0W2100560,15,5,500,6000,23.4,17,57,65
2024-03-21 17:06,ICW0W2100549,16,6,1010,145,18.2,28,76,91
2024-03-21 17:06,ICW0W2100509,24,9,94,6000,23.2,20,58,69
2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-03-21 17:06,ICW0W2100497,170,71,516,16,25,16,53,65
2024-03-21 17:09,ICW0W2100491,7,4,842,59514,24.4,20,65,56
2024-03-21 17:06,ICW0W2100485,18,7,1152,0,23.8,28,62,89
2024-03-21 17:06,ICW0W2100481,29,11,909,393,21.9,31,78,89
2024-03-21 17:06,ICW0W2100479,20,7,597,74,24.7,19,64,90
2024-03-21 17:06,ICW0W2100489,13,5,26,1,24,19,63,98
2024-03-21 17:06,ICW0W2100467,11,4,,6000,22.6,18,83,59
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-03-21 17:06,ICW0W2100462,16,6,285,6000,24.9,19,63,63
2024-03-21 17:06,ICW0W2100460,5,1,1548,0,21.7,29,73,82
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-03-21 17:06,ICW0W2100455,12,4,1110,6000,23.7,25,71,70
2024-03-21 17:06,ICW0W2000512,26,10,542,299,24.1,21,63,89
2024-03-21 17:06,ICW0W2001000,19,12,127,77,17.3,28,53,95
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-03-21 17:06,ICW0W2000951,32,9,348,27,21,24,67,97
2024-03-21 17:06,ICW0W2000956,25,15,624,6000,18,30,63,65
2024-03-21 17:06,ICW0W2000996,19,18,743,3769,21.3,21,68,70
2024-03-21 17:06,ICW0W2000991,16,11,469,129,19.6,24,63,96
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
2024-03-21 17:06,ICW0W2000983,14,9,199,141,15.7,26,63,91
2024-03-21 17:06,ICW0W2000955,22,14,516,222,18.9,22,66,93
2024-03-21 17:06,ICW0W2000987,10,6,692,1877,23.5,25,60,76
2024-03-21 17:06,ICW0W2000978,17,11,563,401,17.1,25,43,87
2024-03-21 17:06,ICW0W2000922,7,2,375,2210,23.2,25,63,78
2024-03-21 17:06,ICW0W2000926,4,1,159,6000,27.7,22,52,64
2024-03-21 17:06,ICW0W2000977,14,9,732,271,22.3,25,71,93
2024-03-21 17:06,ICW0W2000933,25,8,484,124,22.8,21,50,96
2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-03-21 17:06,ICW0W2000973,10,7,589,154,20.9,24,59,96
2024-03-21 14:56,ICW0W2000972,39,27,1016,306,24.9,20,48,82
2024-03-21 17:06,ICW0W2000968,14,10,526,54,25.9,16,64,91
2024-03-21 17:06,ICW0W2000944,6,4,652,6000,22,28,64,68
2024-03-21 17:06,ICW0W2000964,24,16,468,111,16.5,22,68,92
2024-03-21 17:06,ICW0W2000924,18,5,711,117,23,23,70,96
2024-03-21 17:06,ICW0W2000505,7,2,1017,620,24.4,25,70,83
2024-03-21 17:06,V01T1623100,168,47,1225,414,23,28,32,69
2024-03-21 17:06,V01T1623130,1,1,883,154,23.2,20,41,96
2024-03-21 17:06,V01T1623129,24,11,797,202,26.6,18,34,86
2024-03-21 17:06,V01T1623123,23,11,2177,857,27.1,32,43,64
2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
2024-03-21 17:05,V01T1623118,1,1,447,158,23,19,34,96
2024-03-21 17:05,V01T1623117,7,4,1689,510,24.4,24,52,75
2024-03-21 17:06,V01T1623116,42,19,515,165,19.9,27,42,92
2024-03-21 17:06,V01T1623113,14,7,473,127,26.8,10,31,91
2024-03-21 17:06,V01T1623112,53,23,746,259,26.6,17,45,82
2024-03-21 17:06,V01T1623109,36,16,2362,166,10.6,33,41,64
2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
2024-03-21 17:06,V01T1623105,39,18,571,134,20.8,16,33,89
2024-03-21 17:06,V01T1623102,8,4,1542,517,28,19,34,69
2024-03-21 17:06,ICW0W2000503,3,1,1455,631,24,34,70,79
2024-03-21 17:06,ICW0W2000455,11,4,93,48,20.2,29,64,100
2024-03-21 17:06,ICW0W2000447,9,3,1264,517,20,32,61,83
2024-03-21 17:06,ICW0W2000459,16,5,734,23,24.2,22,66,94
2024-03-21 17:06,ICW0W2000507,6,3,820,508,25.5,21,60,85
2024-03-21 17:06,ICW0W2000501,10,4,882,6000,22.5,25,69,67
2024-03-21 16:59,ICW0W2000500,12,7,2500,4,29.6,17,65,69
2024-03-21 17:06,ICW0W2000380,24,7,529,59,17.7,28,64,93
2024-03-21 17:06,ICW0W2000275,18,6,626,63,17.8,30,50,93
2024-03-21 17:06,ICW0W2000388,17,6,544,140,16.7,29,47,93
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
2024-03-21 16:09,ICW0W2000382,16,5,500,0,23.3,20,63,98
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-03-21 17:05,ICW0W2000287,9,2,980,114,26.2,22,53,93
2024-03-21 17:06,ICW0W2000398,25,9,446,21,19.4,22,57,97
2024-03-21 17:06,ICW0W2000974,3,2,1577,6000,19.8,33,63,64
2024-03-21 17:06,ICW0W2000248,19,5,1471,33,24.1,20,64,78
2024-03-21 17:06,ICW0W2000262,18,6,508,24,18.9,26,68,97
2024-03-21 17:05,ICW0W2100488,21,7,575,221,23.5,16,73,91
2024-03-21 17:05,ICW0W2100506,26,10,64,7,14.7,22,58,92
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-21 17:05,ICW0W2100582,26,9,616,364,23,21,67,91
2024-03-21 17:05,ICW0W2100579,9,3,0,474,26.7,12,59,86
2024-03-21 17:06,ICW0W2100562,23,12,627,934,24.9,14,72,72
데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
2024-03-22 9:52,ICW0W2100481,19,7,1087,6000,21.1,33,65,70
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-22 9:52,ICW0W2100582,26,10,607,80,21.4,21,67,95
2024-03-22 9:52,ICW0W2100579,16,6,0,141,25.5,14,60,93
2024-03-22 9:53,ICW0W2100562,28,15,584,277,22.5,16,65,88
2024-03-22 9:52,ICW0W2100560,5,2,1453,6000,23.7,25,63,65
2024-03-22 9:52,ICW0W2100549,14,5,359,36,15,26,64,92
2024-03-22 9:52,ICW0W2100509,24,9,46,6000,21.4,22,71,69
2024-03-22 9:52,ICW0W2100506,1,0,85,5,13.1,26,59,92
2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-03-22 9:52,ICW0W2100497,262,109,993,32,22,21,80,63
2024-03-22 9:55,ICW0W2100491,17,9,1025,5576,24.4,23,71,68
2024-03-22 9:52,ICW0W2100489,12,4,104,3,22.8,23,79,100
2024-03-22 9:52,ICW0W2100488,27,10,487,117,21.2,18,76,92
2024-03-22 9:52,ICW0W2100485,25,9,888,0,22.7,27,64,95
2024-03-22 9:53,ICW0W2100479,17,5,1025,151,24.8,21,83,88
2024-03-22 9:52,ICW0W2100467,14,5,,6000,21.8,20,67,62
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-03-22 9:52,ICW0W2100462,23,8,103,246,23.8,21,63,96
2024-03-22 9:52,ICW0W2100460,17,6,944,0,22.5,26,82,96
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-03-22 9:52,ICW0W2100455,18,6,1467,0,25.2,32,66,79
2024-03-22 9:52,ICW0W2001000,17,11,29,71,16.1,27,64,96
2024-03-22 9:52,ICW0W2000996,19,18,544,1567,20.3,25,57,75
2024-03-22 9:52,ICW0W2000991,24,16,897,70,20,27,66,93
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
2024-03-22 9:52,ICW0W2000987,26,15,623,21,21.6,23,62,95
2024-03-22 9:52,ICW0W2000983,38,24,196,40,14.3,26,63,88
2024-03-22 9:52,ICW0W2000978,23,14,455,121,14.5,26,50,88
2024-03-22 9:52,ICW0W2000977,26,17,497,46,20.6,23,76,95
2024-03-22 9:52,ICW0W2000974,42,25,1153,624,18.6,31,75,79
2024-03-22 9:52,ICW0W2000973,18,12,682,618,19.9,28,69,85
2024-03-22 9:52,ICW0W2000972,31,19,872,79,20.3,21,75,92
2024-03-22 9:52,ICW0W2000968,11,8,597,1282,25.9,18,64,72
2024-03-22 9:52,ICW0W2000964,36,23,513,63,15.3,24,65,86
2024-03-22 9:52,ICW0W2000956,32,20,686,257,19,31,61,90
2024-03-22 9:52,ICW0W2000955,19,13,702,91,16,27,65,91
2024-03-22 9:52,ICW0W2000951,34,10,346,43,21.5,24,63,96
2024-03-22 9:52,ICW0W2000944,3,2,980,244,17.9,31,65,91
2024-03-22 9:52,ICW0W2000933,25,8,577,190,21.7,22,61,94
2024-03-22 9:52,ICW0W2000926,14,4,89,271,27.6,22,57,90
2024-03-22 9:52,ICW0W2000924,16,5,574,13,19.7,24,57,98
2024-03-22 9:52,ICW0W2000922,21,7,331,238,21.6,27,66,95
2024-03-22 9:52,V01T1623130,11,5,411,135,23.2,17,30,95
2024-03-22 9:52,V01T1623129,18,9,616,125,22.3,21,30,95
2024-03-22 9:52,V01T1623123,31,14,515,126,23.7,17,35,91
2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
2024-03-22 9:51,V01T1623118,1,1,390,135,23.3,21,35,99
2024-03-22 9:51,V01T1623117,26,12,454,148,22.8,17,30,92
2024-03-22 9:52,V01T1623116,37,17,388,150,17.4,27,36,90
2024-03-22 9:14,V01T1623113,8,4,427,125,23.9,12,30,95
2024-03-22 9:10,V01T1623112,6,3,421,137,23.7,21,30,98
2024-03-22 9:52,V01T1623109,36,16,2362,125,10.5,34,44,65
2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
2024-03-22 9:52,V01T1623105,28,13,455,125,20.6,17,30,92
2024-03-22 9:52,V01T1623102,5,3,568,125,26,13,30,91
2024-03-22 9:52,V01T1623100,15,7,347,125,22.1,19,30,94
2024-03-22 9:52,ICW0W2000512,28,11,599,2150,31.9,17,68,61
2024-03-22 9:52,ICW0W2000507,9,5,586,6,19.9,23,56,98
2024-03-22 9:52,ICW0W2000505,8,3,448,225,24.9,21,56,94
2024-03-22 9:52,ICW0W2000503,18,6,429,313,15.5,30,53,87
2024-03-22 9:52,ICW0W2000501,21,8,392,1150,19,24,65,78
2024-03-22 9:52,ICW0W2000500,13,7,2500,43,27.8,19,62,68
2024-03-22 9:52,ICW0W2000459,24,8,853,44,18.4,28,64,95
2024-03-22 9:52,ICW0W2000455,21,7,131,26,18.9,29,61,99
2024-03-22 9:52,ICW0W2000447,11,4,310,114,21,24,51,98
2024-03-22 9:52,ICW0W2000398,31,11,547,41,18.7,24,67,95
2024-03-22 9:52,ICW0W2000388,13,5,572,211,18.1,29,54,95
2024-03-21 16:09,ICW0W2000382,16,5,500,0,23.3,20,63,98
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
2024-03-22 9:52,ICW0W2000380,29,10,339,10,16.4,29,52,94
2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-03-22 9:52,ICW0W2000287,9,3,505,67,22.5,22,52,98
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-03-22 9:52,ICW0W2000275,5,2,549,196,16.6,36,50,98
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-03-22 9:52,ICW0W2000262,30,10,454,20,15.7,29,62,89
2024-03-22 9:52,ICW0W2000248,8,2,1670,275,26,22,95,76
2024-03-22 9:51,ICW0W2100481,17,6,1057,6000,21,33,72,70
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-22 9:51,ICW0W2100582,25,10,600,71,21.4,21,67,95
2024-03-22 9:51,ICW0W2100579,15,6,0,159,25.5,14,61,93
2024-03-22 9:52,ICW0W2100562,28,15,583,293,22.4,16,64,88
2024-03-22 9:51,ICW0W2100560,5,1,1441,6000,23.7,25,60,65
데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
2024-03-22 10:52,ICW0W2100488,23,9,456,142,22.7,16,75,93
2024-03-22 10:52,ICW0W2100506,1,0,88,5,14.1,24,59,95
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-22 10:52,ICW0W2100582,26,10,668,53,21.7,22,69,95
2024-03-22 10:52,ICW0W2100579,12,5,0,920,26.3,14,59,77
2024-03-22 10:53,ICW0W2100562,30,16,594,390,23.6,15,60,87
2024-03-22 10:52,ICW0W2100560,9,3,1933,6000,24,30,57,62
2024-03-22 10:52,ICW0W2100549,25,10,423,29,15.8,26,67,90
2024-03-22 10:52,ICW0W2100509,24,9,173,6000,22.5,22,80,68
